,ID,Model,Input,Output,Vocab (TN),Syntax (MSA),Semantic,Total
40,1,GRPO Final,How do you say 'north-east' in Tunisian?,ترجم للعبسي التونسي كيفاش تقول 'شمال الشرقي' بالتونسي؟,1.6,0.47,0.74,2.81
0,1,Initial SFT,How do you say 'north-east' in Tunisian?,ترجم لهنا الى اللغة العربيه التونسي كيفاش تقول 'شمال شرقي' بالتونسي؟,2.0,0.0,0.64,2.64
20,1,DPO Dialect,How do you say 'north-east' in Tunisian?,ترجم ل العربي التونسي 'شمال الشرقي' كيفاش بالتونسي؟,1.2,0.61,0.58,2.39
41,2,GRPO Final,Can you give me the 'to weaken'?,ترجم لهنا لغارا تونسي: تنجم تعطيني 'ضعف'؟,1.0,0.72,0.57,2.29
21,2,DPO Dialect,Can you give me the 'to weaken'?,ترجم هذا لغته العربيه التونسيه: تنجم تعطيني 'ضعف'؟,1.0,0.22,0.5,1.72
1,2,Initial SFT,Can you give me the 'to weaken'?,ترجم لهنا لغنا العربيون التونسي هل يمكن تعطيني 'ضعف'؟,0.5,0.06,0.45,1.01
42,3,GRPO Final,What is the word for 'a show' ?,ترجم لعربيه تونسيه شنوة كلمة 'رياضيه'؟,1.33,0.72,0.49,2.54
22,3,DPO Dialect,What is the word for 'a show' ?,ترجم لهنا لغارا تونسي: شنوة كلمة 'مظهره'؟,1.33,0.54,0.46,2.34
2,3,Initial SFT,What is the word for 'a show' ?,ترجم لهنا بالعربيه التونسيه شنوة كلمة 'شان'؟,1.33,0.36,0.47,2.17
3,4,Initial SFT,"What does 'verb, action ' mean?",ترجم ب اليابي تونسي: شنوة معناها 'فعل'؟,2.0,0.34,0.63,2.97
43,4,GRPO Final,"What does 'verb, action ' mean?",ترجم لهنا لغارا تونسي: شنوة معناها 'فعل'؟,2.0,0.2,0.61,2.81
23,4,DPO Dialect,"What does 'verb, action ' mean?",ترجم هذا لغت اللغة العربيه ال تونسيه ماذا معناها 'فعل'؟,1.33,0.0,0.41,1.74
44,5,GRPO Final,The purpose of stealing someone else's place is to steal the place of another.,ترجم لعربي تونسي: الهدف من سرق مكان شويش هو سرق موضع شويش.,0.0,1.02,0.12,1.14
4,5,Initial SFT,The purpose of stealing someone else's place is to steal the place of another.,ترجم دهذي الى اللغة تونسي العربيه: الغرض من سرقه مكان لوحدك هو سرق مقعد اخر.,0.0,0.41,0.14,0.55
24,5,DPO Dialect,The purpose of stealing someone else's place is to steal the place of another.,ترجم هذا لغرابه تونسي: الغرض متاع سرقة مكان ما هو سرقة المكان الي فيها ماشي مل لاخر.,0.0,0.14,0.11,0.24
5,6,Initial SFT,Where is the 'scotch tape'?,ترجم ملنا لغرامي تونسي وين 'سكوتش'؟,2.0,0.72,0.51,3.23
25,6,DPO Dialect,Where is the 'scotch tape'?,ترجم لهنا بالعربي تونسي: وين 'سكوتش'؟,2.0,0.59,0.49,3.08
45,6,GRPO Final,Where is the 'scotch tape'?,ترجم لهنا بالعربيه التونسيه وين 'سكات'؟,1.0,0.46,0.39,1.85
46,7,GRPO Final,'ray',ترجم لعبسي تونسي 'شعاع',0.0,0.0,0.34,0.34
6,7,Initial SFT,'ray',ترجم هادا بالعربي التونسي 'رمز',0.0,0.0,0.27,0.27
26,7,DPO Dialect,'ray',ترجم مل هذا الي العربي تونسي: 'سطيح',0.0,0.0,0.24,0.24
7,8,Initial SFT,None,ترجم لهنا لغاه اليابانيه,0.0,0.0,0.0,0.0
27,8,DPO Dialect,None,ترجم لتونسي العربيه,0.0,0.0,0.0,0.0
47,8,GRPO Final,None,ترجم هذا للعربي التونسي,0.0,0.0,0.0,0.0
48,9,GRPO Final,"In Derja , write 'turmeric' .",ترجم ل العربيه التونسي 'قرع' بالدارجة.,0.67,0.89,0.54,2.1
28,9,DPO Dialect,"In Derja , write 'turmeric' .",ترجم لهنا بالعربيه التونسي: بالدارجة اكتب 'ركسب',0.67,0.33,0.35,1.35
8,9,Initial SFT,"In Derja , write 'turmeric' .",ترجم إلي العربي التونسي: برجه دارجة اكتب 'خركم'.,0.67,0.33,0.32,1.32
9,10,Initial SFT,Write in Derja 's name ' ; cane ' ;,ترجم لترنيجي تونسي,0.0,1.0,0.16,1.16
49,10,GRPO Final,Write in Derja 's name ' ; cane ' ;,ترجم هذا لغة عربيه تونسيه اكتب بسم درجة ' ؛ قصبه ' ؛,0.67,0.11,0.31,1.08
29,10,DPO Dialect,Write in Derja 's name ' ; cane ' ;,ترجم لهذا الى اللغة العربيه التونسي ' لخرجا' ؛ قصب ',0.0,0.11,0.22,0.33
