,,,Output (Tunisian),Output (Tunisian),Output (Tunisian),Total Reward,Total Reward,Total Reward
Model Stage,,,DPO Dialect,GRPO Final,Initial SFT,DPO Dialect,GRPO Final,Initial SFT
Example #,Input (English),Ref (Tunisian),,,,,,
1,How do you say 'north-east' in Tunisian?,كيفاش تقول 'شمال شرقي' بالتونسي؟,ترجم لهنا بالعربي التونسي كيفاش تقول 'شمال الشرقي' بالتونسي؟,ترجم لعبسي تونسي كيفاش تقول 'شمال الشرقي' بالتونسي؟,ترجم لهنا بالعربي التونسي كيفاش تقول 'شمال الشرقي' بالتونسي؟,2.48,2.98,2.48
2,Can you give me the 'to weaken'?,تنجم تعطيني 'رد ضعيف'؟,ترجم لهنا بالعربي التونسي: تنجم تعطيني 'ضعف'؟,ترجم لعبسي تونسي: تنجم تعطيني 'ضعف'؟,ترجم لهنا بالعربي التونسي: تنجم تعطيني 'ضعف'؟,2.04,2.62,2.04
3,What is the word for 'a show' ?,شنوة كلمة 'شو'؟,ترجم لهنا بالعربي التونسي شنوة كلمة 'شو'؟,ترجم لهنا لغارا تونسي: شنوة كلمة 'شو'؟,ترجم لهنا بالعربي التونسي شنوة كلمة 'شو'؟,3.08,3.29,3.08
4,"What does 'verb, action ' mean?",شنوة معناها 'فعل'؟,ترجم لهنا بالعربي التونسي: شنوة معناها 'فعل'؟,ترجم لهنا لغارا تونسي: شنوة معناها 'فعل'؟,ترجم لهنا بالعربي التونسي: شنوة معناها 'فعل'؟,2.57,2.81,2.57
5,The purpose of stealing someone else's place is to steal the place of another.,فك البقعه,ترجم لهنا بالعربيه التونسييه: الغرض من سرقه مكان الاخر هو سرقه محل الاخر.,ترجم لهنا لغارا تونسي: الغرض من سرق مكان الاخر هو سرق مكان الاخر.,ترجم لهنا بالعربيه التونسييه: الغرض من سرق مكان الاخر هو سرق مكان الاخر.,0.61,0.92,0.64
6,Where is the 'scotch tape'?,وين 'سكوتش'؟,ترجم لهنا بالعربي التونسي: وين 'سكوتش'؟,ترجم لهنا لغارا تونسي: وين 'سكوتش'؟,ترجم لهنا بالعربي التونسي: وين 'سكوتش'؟,2.93,3.23,2.93
7,'ray','ريون',ترجم لهنا بالعربي التونسي 'شعاع',ترجم لهنا لغارا تونسي 'شعاع',ترجم لهنا بالعربي التونسي 'شعاع',0.26,0.24,0.26
8,None,,ترجم لهنا بالعربيه التونسي,ترجم لهنا لغارا تونسي,ترجم هذا لغات عربيه تونسيه,0.0,0.0,0.0
9,"In Derja , write 'turmeric' .",اكتب 'كركم' بالدارجة.,ترجم لهنا بالعربي التونسي: بالدارجة اكتب 'قرقه'.,ترجم لهنا لغارا تونسي: بالدارجة اكتب 'كركم'.,ترجم لهنا بالعربي التونسي: بالدارجة اكتب 'قرقه'.,1.38,1.59,1.38
